findling-cpu epoch,usage_usec,box_total_jiffies,box_idle_jiffies,uptime_usec
findling-cpu 1790402909,965993917,401621,235311,2014070000
findling-cpu 1790402914,971197962,402621,235728,2019080000
findling-cpu 1790402919,976161664,403620,236173,2024100000
findling-cpu 1790402924,981262912,404620,236552,2029110000
findling-cpu 1790402929,986255888,405621,237018,2034120000
findling-cpu 1790402934,991871302,406620,237398,2039140000
findling-cpu 1790402939,996989119,407620,237737,2044160000
findling-cpu 1790402944,1002002224,408620,238164,2049180000
findling-cpu 1790402949,1007358407,409619,238550,2054190000
findling-cpu 1790402954,1012287183,410621,238974,2059210000
findling-cpu 1790402959,1017808552,411620,239373,2064220000
findling-cpu 1790402964,1022778328,412621,239835,2069240000
findling-cpu 1790402969,1028069206,413620,240214,2074250000
findling-cpu 1790402974,1033250476,414620,240628,2079260000
findling-cpu 1790402979,1038158561,415620,241033,2084280000
findling-cpu 1790402984,1043458899,416620,241408,2089290000
findling-cpu 1790402989,1048448846,417620,241875,2094300000
findling-cpu 1790402994,1053982545,418621,242259,2099320000
findling-cpu 1790402999,1058943497,419628,242672,2104360000
findling-cpu 1790403004,1064267937,420643,243069,2109440000
findling-cpu 1790403009,1069600820,421642,243462,2114460000
findling-cpu 1790403014,1074552420,422642,243880,2119470000
findling-cpu 1790403019,1079855037,423642,244297,2124490000
findling-cpu 1790403024,1084846146,424643,244758,2129500000
findling-cpu 1790403029,1090124548,425642,245135,2134520000
findling-cpu 1790403034,1095403647,426643,245487,2139530000
findling-cpu 1790403039,1100310454,427644,245937,2144550000
findling-cpu 1790403044,1105565232,428643,246353,2149570000
findling-cpu 1790403049,1110556000,429644,246777,2154580000
findling-cpu 1790403054,1116138919,430644,247122,2159590000
findling-cpu 1790403060,1121546101,431645,247550,2164610000
findling-cpu 1790403065,1126364061,432646,247919,2169630000
findling-cpu 1790403070,1131650963,433645,248316,2174650000
findling-cpu 1790403075,1136626375,434646,248781,2179660000
findling-cpu 1790403080,1141902470,435646,249162,2184680000
findling-cpu 1790403085,1146883258,436646,249623,2189690000
findling-cpu 1790403090,1152231783,437648,250037,2194700000
findling-cpu 1790403095,1157404882,438645,250409,2199720000
findling-cpu 1790403100,1162344560,439645,250816,2204730000
findling-cpu 1790403105,1167771952,440645,251217,2209740000
findling-cpu 1790403110,1172733155,441645,251646,2214760000
findling-cpu 1790403115,1176665081,442645,252191,2219770000
findling-cpu 1790403120,1176724340,443644,253156,2224780000
findling-cpu 1790403125,1176785314,444642,254031,2229800000
findling-cpu 1790403130,1176842812,445641,254970,2234810000
findling-cpu 1790403135,1176902234,446640,255926,2239820000
findling-cpu 1790403140,1176990255,447637,256745,2244830000
findling-cpu 1790403145,1176995123,448637,257733,2249850000
findling-cpu 1790403150,1176999817,449638,258726,2254860000
findling-cpu 1790403155,1177004358,450641,259714,2259870000
findling-cpu 1790403160,1177029316,451639,260667,2264890000
findling-cpu 1790403165,1177034783,452641,261656,2269900000
findling-cpu 1790403170,1177089272,453641,262598,2274910000
findling-cpu 1790403175,1177099878,454641,263578,2279920000
findling-cpu 1790403180,1177105118,455642,264573,2284940000
findling-cpu 1790403185,1177110761,456643,265512,2289950000
findling-cpu 1790403190,1177116050,457643,266484,2294960000
findling-cpu 1790403195,1177120536,458643,267473,2299980000
findling-cpu 1790403200,1177175026,459644,268453,2304990000
findling-cpu 1790403205,1177185753,460646,269397,2310000000
findling-cpu 1790403210,1177190477,461648,270393,2315020000
findling-cpu 1790403215,1177195622,462649,271379,2320030000
findling-cpu 1790403220,1177201293,463646,272307,2325040000
findling-cpu 1790403225,1177206307,464648,273296,2330060000
findling-cpu 1790403230,1177210129,465648,274292,2335070000
findling-cpu 1790403235,1177264496,466647,275227,2340080000
findling-cpu 1790403240,1177268222,467648,276223,2345090000
findling-cpu 1790403245,1177272478,468649,277174,2350110000
findling-cpu 1790403250,1177276633,469650,278146,2355120000
findling-cpu 1790403255,1177281205,470652,279136,2360130000
findling-cpu 1790403260,1177285594,471652,280131,2365150000
findling-cpu 1790403265,1177351964,472652,281056,2370160000
findling-cpu 1790403270,1177356891,473653,282052,2375170000
findling-cpu 1790403275,1177361808,474653,283039,2380180000
findling-cpu 1790403280,1177366263,475652,284011,2385200000
findling-cpu 1790403285,1177370302,476654,285001,2390210000
findling-cpu 1790403290,1177374316,477655,285996,2395220000
findling-cpu 1790403295,1177428068,478657,286933,2400240000
findling-cpu 1790403300,1177431959,479658,287928,2405250000
findling-cpu 1790403305,1177436737,480656,288875,2410260000
findling-cpu 1790403310,1177441437,481656,289847,2415270000
findling-cpu 1790403315,1177445409,482658,290835,2420290000
findling-cpu 1790403320,1177449269,483659,291831,2425300000
findling-cpu 1790403325,1177503206,484657,292766,2430310000
findling-cpu 1790403330,1177518707,485659,293683,2435330000
findling-cpu 1790403335,1177523183,486660,294671,2440340000
findling-cpu 1790403340,1177528031,487659,295600,2445350000
findling-cpu 1790403345,1177532854,488661,296589,2450360000
findling-cpu 1790403350,1177538408,489663,297584,2455380000
findling-cpu 1790403355,1177594042,490664,298484,2460390000
findling-cpu 1790403360,1177599179,491665,299480,2465400000
findling-cpu 1790403365,1177604092,492665,300432,2470420000
findling-cpu 1790403370,1177608646,493664,301401,2475430000
findling-cpu 1790403375,1177613295,494666,302390,2480440000
findling-cpu 1790403380,1177617811,495666,303385,2485450000
findling-cpu 1790403385,1179727688,496665,304101,2490470000
findling-cpu 1790403390,1184574097,497666,304592,2495480000
findling-cpu 1790403395,1186004666,498667,305416,2500490000
findling-cpu 1790403400,1186009873,499667,306388,2505510000
findling-cpu 1790403405,1186014444,500668,307377,2510520000
findling-cpu 1790403410,1186024272,501668,308364,2515530000
findling-cpu summary samples=317 mean_cores=0.748 max_cores=1.173 reason=signal
