kennzahl anfragen terms 10
kennzahl anfragen sprachfaelle 10
kennzahl anfragen stichprobe 40
kennzahl plan felder 8
kennzahl probe tiefe 100
kennzahl probe wiederholungen 5
anfrage 1 klasse mehrwort
anfrage 20 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 20 rangverschiebung_gegen_altplan dismax_t00 0.0000
anfrage 20 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 20 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 20 rangverschiebung_gegen_altplan dismax_t01 0.0000
anfrage 21 klasse einwort
anfrage 21 treffer summe 51049
anfrage 21 spitze summe 13717,6190,11954,50856,34761,41608,14753,37183,25942,28038
anfrage 21 latenz_ms summe 4.1104
anfrage 21 treffer dismax_t00 51049
anfrage 21 spitze dismax_t00 13717,6190,11954,50856,34761,41608,10208,14753,30010,31229
anfrage 21 latenz_ms dismax_t00 4.0753
anfrage 21 treffer dismax_t01 51049
anfrage 21 spitze dismax_t01 13717,6190,11954,50856,34761,41608,14753,37183,25942,28038
anfrage 21 latenz_ms dismax_t01 4.0553
anfrage 21 treffer altplan 51049
anfrage 21 spitze altplan 13717,6190,11954,50856,34761,41608,10208,14753,30010,31229
anfrage 21 latenz_ms altplan 3.3493
anfrage 21 overlap10_gegen_altplan summe 0.7000
anfrage 21 rbo10_gegen_altplan summe 0.9466
anfrage 21 rangverschiebung_gegen_altplan summe 4.0204
anfrage 21 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 21 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 21 rangverschiebung_gegen_altplan dismax_t00 0.0000
anfrage 21 overlap10_gegen_altplan dismax_t01 0.7000
anfrage 21 rbo10_gegen_altplan dismax_t01 0.9466
anfrage 21 rangverschiebung_gegen_altplan dismax_t01 3.7400
anfrage 22 klasse einwort
anfrage 22 treffer summe 51101
anfrage 22 spitze summe 51450,8103,24615,21341,9652,34041,26311,5875,31012,12014
anfrage 22 latenz_ms summe 4.1772
anfrage 22 treffer dismax_t00 51101
anfrage 22 spitze dismax_t00 51450,8103,24615,21341,9652,34041,26311,5875,31012,12014
anfrage 22 latenz_ms dismax_t00 4.1216
anfrage 22 treffer dismax_t01 51101
anfrage 22 spitze dismax_t01 51450,8103,24615,21341,9652,34041,26311,5875,31012,12014
anfrage 22 latenz_ms dismax_t01 4.0928
anfrage 22 treffer altplan 51101
anfrage 22 spitze altplan 51450,8103,24615,21341,9652,34041,26311,5875,31012,12014
anfrage 22 latenz_ms altplan 3.3594
anfrage 22 overlap10_gegen_altplan summe 1.0000
anfrage 22 rbo10_gegen_altplan summe 1.0000
anfrage 22 rangverschiebung_gegen_altplan summe 1.2424
anfrage 22 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 22 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 22 rangverschiebung_gegen_altplan dismax_t00 0.0000
anfrage 22 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 22 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 22 rangverschiebung_gegen_altplan dismax_t01 1.0000
anfrage 23 klasse einwort
anfrage 23 treffer summe 51095
anfrage 23 spitze summe 29366,10482,40731,19735,40790,40938,46890,3770,1568,30894
anfrage 23 latenz_ms summe 6.5898
anfrage 23 treffer dismax_t00 51095
anfrage 23 spitze dismax_t00 137,202,205,210,227,232,253,259,272,313
anfrage 23 latenz_ms dismax_t00 7.1551
anfrage 23 treffer dismax_t01 51095
anfrage 23 spitze dismax_t01 29366,10482,40731,19735,40790,40938,46890,3770,1568,30894
anfrage 23 latenz_ms dismax_t01 7.8979
anfrage 23 treffer altplan 51095
anfrage 23 spitze altplan 29366,10482,40731,19735,40790,40938,46890,30894,3770,1568
anfrage 23 latenz_ms altplan 5.0836
anfrage 23 overlap10_gegen_altplan summe 1.0000
anfrage 23 rbo10_gegen_altplan summe 0.9835
anfrage 23 rangverschiebung_gegen_altplan summe 2.9053
anfrage 23 overlap10_gegen_altplan dismax_t00 0.0000
anfrage 23 rbo10_gegen_altplan dismax_t00 0.0000
anfrage 23 rangverschiebung_gegen_altplan dismax_t00 27.8333
anfrage 23 overlap10_gegen_altplan dismax_t01 1.0000
